Продукт,Калорийность,Белки,Жиры,Углеводы
"Чернослив (слива сушеная), тушеный с добавлением сахара",124 кКал,"1,09 г","0,22 г","29,08 г"
Чернослив дегидрированный,339 кКал,"3,7 г","0,73 г","89,07 г"
"Чернослив дегидрированный, тушеный",113 кКал,"1,23 г","0,24 г","29,7 г"
Чернослив со взбитыми сливками по 2-116,281 кКал,"2,3 г","12,6 г",38 г
"Чернослив, консервированный в насыщенном сахарном сиропе",105 кКал,"0,87 г","0,2 г",24 г
Черносливовое пюре,257 кКал,"2,1 г","0,2 г","61,8 г"
Черносмородиновый джем,284 кКал,"0,6 г","0,1 г","72,9 г"
Шелковица,43 кКал,"1,44 г","0,39 г","8,1 г"
Шелковица,53 кКал,"0,7 г","0,39 г",12 г
Шиповник,109 кКал,"1,6 г","0,7 г","22,4 г"
"Шиповник дикий, северо-американский",162 кКал,"1,6 г","0,34 г","14,12 г"
Шиповник сухой,284 кКал,"3,4 г","1,4 г","48,3 г"
"Ююба, сушеная",281 кКал,"4,72 г","0,5 г","66,52 г"
"Ююба, сырая",79 кКал,"1,2 г","0,2 г","20,23 г"
Яблоки в сиропе. Консервы,48 кКал,"0,2 г","0,1 г","11,5 г"
Яблоки дикие,76 кКал,"0,4 г","0,3 г","19,95 г"
Яблоко,52 кКал,"0,26 г","0,17 г","11,41 г"
Яблоко,47 кКал,"0,4 г","0,4 г","9,8 г"
Яблоко без кожуры,48 кКал,"0,27 г","0,13 г","11,46 г"
"Яблоко без кожуры, вареное",53 кКал,"0,26 г","0,36 г","11,24 г"
"Яблоко без кожуры, приготовленное в микроволновой печи",56 кКал,"0,28 г","0,42 г","11,61 г"
Яблоко Гала,57 кКал,"0,25 г","0,12 г","11,38 г"
Яблоко Голден,57 кКал,"0,28 г","0,15 г","11,2 г"
Яблоко Гренни Смит,58 кКал,"0,44 г","0,19 г","10,81 г"
Яблоко замороженное,48 кКал,"0,28 г","0,32 г","11,01 г"
"Яблоко замороженное, разогретое",47 кКал,"0,29 г","0,33 г","10,7 г"
"Яблоко ломтиками, консервированное, подслащенное, сухой продукт без маринада, разогретые",67 кКал,"0,18 г","0,43 г","14,84 г"
Яблоко Ред Делишес,59 кКал,"0,27 г","0,2 г","11,76 г"
Яблоко сушеное,253 кКал,"2,2 г","0,1 г",59 г
"Яблоко сушеное (дегидрированное), сульфитированное",346 кКал,"1,32 г","0,58 г","81,13 г"
"Яблоко сушеное (дегидрированное), тушеное",74 кКал,"0,28 г","0,12 г","17,31 г"
"Яблоко сушеное, сульфитированное",243 кКал,"0,93 г","0,32 г","57,19 г"
"Яблоко сушеное, тушеное без сахара",57 кКал,"0,22 г","0,07 г","13,32 г"
"Яблоко сушеное, тушеное с сахаром",83 кКал,"0,2 г","0,07 г","18,83 г"
Яблоко Фуджи,63 кКал,"0,2 г","0,18 г","13,12 г"
Яблочное повидло,250 кКал,"0,4 г",0 г,65 г
Яблочное пюре,82 кКал,"0,6 г","0,2 г",19 г
Яблочный компот. Консервы,93 кКал,"0,2 г","0,2 г","22,3 г"
"Яблочный соус, консервированный, неподслащенный, без добавления аскорбиновой кислоты",42 кКал,"0,17 г","0,1 г","10,17 г"
"Яблочный соус, консервированный, неподслащенный, с добавлением аскорбновой кислоты",42 кКал,"0,17 г","0,1 г","10,17 г"
"Яблочный соус, консервированный, подслащенный, без добавления соли",68 кКал,"0,16 г","0,17 г","16,29 г"
"Яблочный соус, консервированный, подслащенный, с солью",76 кКал,"0,18 г","0,18 г","18,71 г"
"Ягоды годжи, сушеные",349 кКал,"14,26 г","0,39 г","64,06 г"
